,net_lat,net_lon,gebco_lat,gebco_lon,ctd_depth,gebco_depth
49257,34.053333,-122.941666,34.05208333333333,-122.93958333333333,2217.0,4249
49258,33.326666,-119.635,33.327083333333334,-119.63541666666666,74.0,74
49259,33.326666,-119.635,33.327083333333334,-119.63541666666666,67.0,74
49260,33.15,-123.221666,33.14791666666666,-123.22291666666666,4219.0,4251
49261,32.415,-119.961666,32.414583333333326,-119.96041666666667,845.0,856
49262,33.185,-118.386666,33.18541666666667,-118.38541666666666,1174.0,1180
49263,34.283333,-120.033333,34.28125,-120.03125,572.0,584
49264,33.326666,-119.635,33.327083333333334,-119.63541666666666,74.0,74
49265,33.15,-123.221666,33.14791666666666,-123.22291666666666,4219.0,4251
49266,34.388333,-122.246666,34.389583333333334,-122.24791666666667,4014.0,4022
49267,32.651666,-119.481666,32.65208333333334,-119.48125,1314.0,1318
49268,33.251666,-118.251666,33.25208333333333,-118.25208333333333,488.0,298
49269,34.45,-120.523333,34.44791666666667,-120.52291666666667,70.0,76
49270,32.678333,-117.873333,32.67708333333333,-117.87291666666667,579.0,610
49271,33.673333,-118.94,33.672916666666666,-118.93958333333333,896.0,901
49272,32.918333,-118.935,32.91875,-118.93541666666667,1685.0,1702
49273,30.85,-121.593333,30.852083333333326,-121.59375,4119.0,4122
49274,30.516666,-122.256666,30.514583333333334,-122.25625,4159.0,4182
49275,33.878333,-120.133333,33.87708333333333,-120.13125,90.0,130
49276,30.751666,-123.333333,30.75208333333333,-123.33125000000001,3986.0,4029
49277,29.848333,-123.588333,29.847916666666663,-123.58958333333334,4032.0,4081
49278,31.971666,-122.393333,31.972916666666663,-122.39375000000001,4113.0,4131
49279,33.89,-118.49,33.889583333333334,-118.48958333333334,55.0,75
49280,34.886666,-121.201666,34.88541666666667,-121.20208333333333,560.0,561
49281,32.248333,-123.488333,32.24791666666667,-123.48958333333334,4119.0,4181
49282,33.813333,-121.841666,33.81458333333333,-121.83958333333334,3620.0,3647
49283,31.086666,-122.658333,31.08541666666666,-122.65625,3950.0,4034
49284,31.18,-120.92,31.18124999999999,-120.91875,3875.0,3911
49285,32.918333,-118.935,32.91875,-118.93541666666667,1685.0,1702
49286,31.42,-121.988333,31.418750000000003,-121.98958333333334,3882.0,3869
49287,34.721666,-121.548333,34.72291666666666,-121.54791666666667,911.0,928
49288,34.886666,-121.201666,34.88541666666667,-121.20208333333333,560.0,561
49289,32.655,-121.033333,32.65625,-121.03125,3777.0,3814
49290,31.086666,-122.658333,31.08541666666666,-122.65625,3950.0,4034
49291,33.491666,-119.318333,33.48958333333333,-119.31875,1638.0,1647
49292,34.45,-120.523333,34.44791666666667,-120.52291666666667,72.0,76
49293,33.721666,-123.633333,33.72291666666666,-123.63125,3923.0,4309
49294,32.673333,-117.855,32.672916666666666,-117.85625,668.0,641
49295,33.823333,-118.628333,33.82291666666667,-118.62708333333333,662.0,652
49296,34.15,-121.15,34.14791666666666,-121.15208333333334,2040.0,2244
49297,33.721666,-123.633333,33.72291666666666,-123.63125,3923.0,4309
49298,34.888333,-121.2,34.889583333333334,-121.20208333333333,585.0,563
49299,30.515,-122.258333,30.514583333333334,-122.25625,4137.0,4182
49300,33.89,-118.49,33.889583333333334,-118.48958333333334,55.0,75
49301,30.848333,-121.59,30.847916666666663,-121.58958333333334,4209.0,4123
49302,32.508333,-118.215,32.506249999999994,-118.21458333333334,1593.0,1631
49303,30.515,-122.258333,30.514583333333334,-122.25625,4137.0,4182
49304,31.913333,-124.173333,31.914583333333326,-124.17291666666667,4238.0,4219
49305,30.416666,-123.996666,30.414583333333326,-123.99791666666667,4310.0,4280
49306,33.151666,-123.221666,33.15208333333334,-123.22291666666666,4266.0,4236
49307,31.848333,-119.573333,31.847916666666663,-119.57291666666666,2232.0,2127
49308,33.673333,-118.941666,33.672916666666666,-118.93958333333333,899.0,901
49309,34.15,-121.15,34.14791666666666,-121.15208333333334,2040.0,2244
49310,32.578333,-122.813333,32.577083333333334,-122.81458333333333,3733.0,4279
49311,33.823333,-118.628333,33.82291666666667,-118.62708333333333,662.0,652
49312,33.823333,-118.628333,33.82291666666667,-118.62708333333333,662.0,652
49313,33.745,-120.41,33.74374999999999,-120.41041666666666,959.0,1014
49314,33.745,-120.41,33.74374999999999,-120.41041666666666,959.0,1014
49315,32.913333,-117.395,32.914583333333326,-117.39375000000001,620.0,639
49316,32.673333,-117.855,32.672916666666666,-117.85625,668.0,641
49317,34.281666,-120.038333,34.28125,-120.03958333333333,573.0,595
49318,34.45,-120.523333,34.44791666666667,-120.52291666666667,72.0,76
49319,34.45,-120.523333,34.44791666666667,-120.52291666666667,72.0,76
49320,33.483333,-117.768333,33.48125,-117.76875000000001,66.0,90
49321,32.913333,-117.395,32.914583333333326,-117.39375000000001,620.0,639
49322,31.848333,-119.573333,31.847916666666663,-119.57291666666666,2232.0,2127
49323,33.673333,-118.941666,33.672916666666666,-118.93958333333333,899.0,901
49324,31.415,-121.985,31.414583333333326,-121.98541666666667,4080.0,3919
49325,32.99,-120.348333,32.98958333333333,-120.34791666666666,723.0,722
49326,32.99,-120.348333,32.98958333333333,-120.34791666666666,723.0,722
49327,33.82,-121.843333,33.818749999999994,-121.84375,3800.0,3649
49328,33.243333,-121.443333,33.24374999999999,-121.44375,3543.0,3802
49329,29.848333,-123.586666,29.847916666666663,-123.58541666666667,4271.0,4119
49330,32.178333,-118.896666,32.17708333333333,-118.89791666666667,1446.0,1553
49331,32.178333,-118.896666,32.17708333333333,-118.89791666666667,1446.0,1553
49332,33.243333,-121.443333,33.24374999999999,-121.44375,3543.0,3802
49333,35.088333,-120.776666,35.08958333333334,-120.77708333333334,66.0,76
49334,32.085,-120.641666,32.08541666666666,-120.63958333333333,3733.0,3827
49335,33.491666,-119.323333,33.48958333333333,-119.32291666666666,1668.0,1647
49336,32.418333,-119.96,32.41875,-119.96041666666667,881.0,866
49337,32.418333,-119.96,32.41875,-119.96041666666667,881.0,866
49338,31.323333,-123.741666,31.32291666666667,-123.73958333333334,3928.0,4030
49339,32.085,-120.641666,32.08541666666666,-120.63958333333333,3733.0,3827
49340,32.845,-117.531666,32.84375,-117.53125,872.0,861
49341,33.876666,-120.135,33.87708333333333,-120.13541666666666,101.0,100
49342,34.388333,-122.245,34.389583333333334,-122.24375,3924.0,4022
49343,32.918333,-118.931666,32.91875,-118.93125,1724.0,1705
49344,32.845,-117.531666,32.84375,-117.53125,872.0,861
49345,34.388333,-122.245,34.389583333333334,-122.24375,3924.0,4022
49346,34.318333,-120.801666,34.318749999999994,-120.80208333333334,797.0,782
49347,34.318333,-120.801666,34.318749999999994,-120.80208333333334,797.0,782
49348,33.483333,-122.533333,33.48125,-122.53125,3733.0,3999
49349,34.318333,-120.801666,34.318749999999994,-120.80208333333334,797.0,782
49350,32.178333,-118.896666,32.17708333333333,-118.89791666666667,1446.0,1553
49351,34.318333,-120.801666,34.318749999999994,-120.80208333333334,797.0,782
49352,33.876666,-120.135,33.87708333333333,-120.13541666666666,101.0,100
49353,35.088333,-120.776666,35.08958333333334,-120.77708333333334,66.0,76
49354,33.491666,-119.323333,33.48958333333333,-119.32291666666666,1668.0,1647
49355,32.918333,-118.931666,32.91875,-118.93125,1724.0,1705
49356,33.483333,-122.533333,33.48125,-122.53125,3733.0,3999
49357,33.243333,-121.443333,33.24374999999999,-121.44375,3543.0,3802
49358,31.323333,-123.741666,31.32291666666667,-123.73958333333334,3928.0,4030
49359,32.085,-120.641666,32.08541666666666,-120.63958333333333,3733.0,3827
49360,34.388333,-122.245,34.389583333333334,-122.24375,3924.0,4022
49361,33.82,-121.843333,33.818749999999994,-121.84375,3800.0,3649
49362,31.415,-121.985,31.414583333333326,-121.98541666666667,4080.0,3919
49363,33.74,-118.801666,33.73958333333333,-118.80208333333334,,903
49364,32.99,-120.348333,32.98958333333333,-120.34791666666666,723.0,722
49365,32.845,-117.531666,32.84375,-117.53125,872.0,861
49366,32.918333,-118.931666,32.91875,-118.93125,1724.0,1705
49367,32.418333,-119.96,32.41875,-119.96041666666667,881.0,866
49368,33.876666,-120.135,33.87708333333333,-120.13541666666666,101.0,100
49369,33.82,-121.843333,33.818749999999994,-121.84375,3800.0,3649
49370,32.418333,-119.96,32.41875,-119.96041666666667,881.0,866
49371,32.418333,-119.96,32.41875,-119.96041666666667,881.0,866
49372,34.318333,-120.801666,34.318749999999994,-120.80208333333334,797.0,782
49373,32.418333,-119.96,32.41875,-119.96041666666667,881.0,866
49374,29.848333,-123.586666,29.847916666666663,-123.58541666666667,4271.0,4119
49375,34.318333,-120.801666,34.318749999999994,-120.80208333333334,797.0,782
49376,32.948333,-117.273333,32.94791666666667,-117.27291666666667,,16
49377,31.913333,-124.173333,31.914583333333326,-124.17291666666667,4238.0,4219
49378,32.346666,-118.556666,32.34791666666666,-118.55625,1334.0,1363
49379,32.346666,-118.556666,32.34791666666666,-118.55625,1334.0,1363
49380,32.346666,-118.556666,32.34791666666666,-118.55625,1334.0,1363
49381,31.656666,-123.07,31.65625,-123.06875,3833.0,4129
49382,31.656666,-123.07,31.65625,-123.06875,3833.0,4129
49383,35.088333,-120.776666,35.08958333333334,-120.77708333333334,66.0,76
49384,31.99,-122.393333,31.98958333333333,-122.39375000000001,4214.0,4106
49385,31.99,-122.393333,31.98958333333333,-122.39375000000001,4214.0,4106
49386,31.99,-122.393333,31.98958333333333,-122.39375000000001,4214.0,4106
49387,31.99,-122.393333,31.98958333333333,-122.39375000000001,4214.0,4106
49388,33.491666,-119.323333,33.48958333333333,-119.32291666666666,1668.0,1647
49389,32.655,-119.476666,32.65625,-119.47708333333333,1334.0,1318
49390,32.346666,-118.556666,32.34791666666666,-118.55625,1334.0,1363
49391,32.508333,-118.215,32.506249999999994,-118.21458333333334,1593.0,1631
49392,32.346666,-118.556666,32.34791666666666,-118.55625,1334.0,1363
49393,33.156666,-120.003333,33.15625,-120.00208333333333,1251.0,1205
49394,33.156666,-120.003333,33.15625,-120.00208333333333,1251.0,1205
49395,32.346666,-118.556666,32.34791666666666,-118.55625,1334.0,1363
49396,33.483333,-117.768333,33.48125,-117.76875000000001,66.0,90
49397,34.888333,-121.2,34.889583333333334,-121.20208333333333,585.0,563
49398,32.508333,-118.215,32.506249999999994,-118.21458333333334,1593.0,1631
49399,33.156666,-120.003333,33.15625,-120.00208333333333,1251.0,1205
49400,33.745,-120.41,33.74374999999999,-120.41041666666666,959.0,1014
49401,33.745,-120.41,33.74374999999999,-120.41041666666666,959.0,1014
49402,32.655,-119.476666,32.65625,-119.47708333333333,1334.0,1318
49403,33.856666,-118.56,33.85625,-118.56041666666667,77.0,77
49404,33.483333,-117.768333,33.48125,-117.76875000000001,66.0,90
49405,33.745,-120.41,33.74374999999999,-120.41041666666666,959.0,1014
49406,34.888333,-121.2,34.889583333333334,-121.20208333333333,585.0,563
49407,33.745,-120.41,33.74374999999999,-120.41041666666666,959.0,1014
49408,32.655,-119.476666,32.65625,-119.47708333333333,1334.0,1318
49409,31.18,-120.918333,31.18124999999999,-120.91875,3924.0,3911
49410,33.185,-118.386666,33.18541666666667,-118.38541666666666,1223.0,1180
49411,31.085,-122.661666,31.08541666666666,-122.66041666666666,4310.0,4017
49412,31.515,-120.248333,31.514583333333334,-120.24791666666667,4000.0,3945
49413,32.245,-123.491666,32.24374999999999,-123.48958333333334,4305.0,4180
49414,33.323333,-119.663333,33.32291666666667,-119.66458333333333,77.0,76
49415,33.323333,-119.663333,33.32291666666667,-119.66458333333333,77.0,76
49416,32.953333,-117.305,32.952083333333334,-117.30625,60.0,111
49417,32.913333,-117.395,32.914583333333326,-117.39375000000001,620.0,639
49418,34.281666,-120.038333,34.28125,-120.03958333333333,573.0,595
49419,34.225,-119.411666,34.227083333333326,-119.41041666666666,34.0,42
