cast_no,cast_id,ncdepth,nodepths
450,20-1806SR-MX-163-08:16-09331100,115.617981,16
451,20-1806SR-MX-163-20:57-09001200,106.027936,16
452,20-1806SR-MX-164-03:37-09001100,111.650497,16
453,20-1806SR-MX-164-09:57-09001000,101.778157,16
454,20-1806SR-MX-164-23:04-09000800,50.166708,16
455,20-1806SR-MX-165-05:44-09000700,50.687516,15
456,20-1806SR-MX-165-12:19-09000600,3,16
457,20-1806SR-MX-165-23:13-09000450,19.689655,16
458,20-1806SR-MX-166-05:06-09000370,32.178649,16
459,20-1806SR-MX-166-08:17-09000350,40.622373,16
460,20-1806SR-MX-166-12:32-09000300,31.904523,16
461,20-1806SR-MX-166-15:25-09000277,2,4
462,20-1806SR-MX-166-19:51-08850301,2,5
463,20-1806SR-MX-166-23:25-08680325,1,5
464,20-1806SR-MX-167-00:19-08670330,11.472754,7
465,20-1806SR-MX-167-02:37-08670350,21.612903,16
466,20-1806SR-MX-167-06:52-08670400,21.545595,16
467,20-1806SR-MX-167-11:17-08670450,11.572327,14
468,20-1806SR-MX-167-15:25-08670500,2,10
469,20-1806SR-MX-167-23:44-08670600,2,15
470,20-1806SR-MX-168-06:16-08670700,76.507411,14
471,20-1806SR-MX-168-12:27-08670800,109.386141,16
472,20-1806SR-MX-169-01:00-08671000,91.255062,16
473,20-1806SR-MX-169-06:49-08671100,107.250004,16
474,20-1806SR-MX-169-12:38-08331100,105.194807,16
475,20-1806SR-MX-170-00:19-08330900,95.947025,16
476,20-1806SR-MX-170-06:07-08330800,80.641352,16
477,20-1806SR-MX-170-11:49-08330700,58.673081,16
478,20-1806SR-MX-170-22:26-08330550,2,16
479,20-1806SR-MX-171-02:21-08330510,3.123596,10
480,20-1806SR-MX-171-08:31-08000550,3,17
481,20-1806SR-MX-171-12:52-08000600,3,16
482,20-1806SR-MX-172-01:48-08000800,65.021411,15
483,20-1806SR-MX-172-08:07-08000900,78.81231699999999,15
484,20-1806SR-MX-172-14:11-08001000,89.602367,16
485,20-1806SR-MX-173-03:00-07670900,94.386368,16
486,20-1806SR-MX-173-09:15-07670800,3,16
487,20-1806SR-MX-173-21:44-07670600,2,16
488,20-1806SR-MX-174-01:49-07670550,2,15
489,20-1806SR-MX-174-05:31-07670510,1,15
490,20-1806SR-MX-174-08:13-07670490,2,9
491,20-1806SR-MX-174-13:35-08000510,5.644231,10
492,20-1806SR-MX-174-15:11-08000505,2,4
493,20-1806SR-MX-174-22:39-08170435,1,6
